periodo,tasa_ahorro,pais,fuente,indicador,anio,trimestre
2015-Q1,7.8,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2015,Q1
2015-Q2,7.2,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2015,Q2
2015-Q3,7.1,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2015,Q3
2015-Q4,8.3,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2015,Q4
2016-Q1,8.1,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2016,Q1
2016-Q2,7.4,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2016,Q2
2016-Q3,7.3,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2016,Q3
2016-Q4,8.6,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2016,Q4
2017-Q1,7.3,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2017,Q1
2017-Q2,6.9,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2017,Q2
2017-Q3,6.8,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2017,Q3
2017-Q4,8.0,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2017,Q4
2018-Q1,7.1,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2018,Q1
2018-Q2,6.5,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2018,Q2
2018-Q3,6.4,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2018,Q3
2018-Q4,7.8,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2018,Q4
2019-Q1,7.4,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2019,Q1
2019-Q2,7.0,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2019,Q2
2019-Q3,6.9,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2019,Q3
2019-Q4,8.1,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2019,Q4
2020-Q1,9.8,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2020,Q1
2020-Q2,18.2,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2020,Q2
2020-Q3,13.6,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2020,Q3
2020-Q4,17.6,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2020,Q4
2021-Q1,14.3,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2021,Q1
2021-Q2,11.7,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2021,Q2
2021-Q3,9.8,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2021,Q3
2021-Q4,10.2,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2021,Q4
2022-Q1,9.1,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2022,Q1
2022-Q2,8.4,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2022,Q2
2022-Q3,8.1,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2022,Q3
2022-Q4,9.6,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2022,Q4
2023-Q1,9.8,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2023,Q1
2023-Q2,9.1,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2023,Q2
2023-Q3,9.3,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2023,Q3
2023-Q4,11.2,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2023,Q4
2024-Q1,10.9,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2024,Q1
2024-Q2,11.4,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2024,Q2
2024-Q3,11.7,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2024,Q3
2024-Q4,12.7,España,Eurostat nasq_10_ki,Tasa de ahorro bruto hogares (%),2024,Q4
