fecha,ahorro_medio,fecha_dt,t,mes_num,sin_mes,cos_mes
2023-01,529.5996700000001,2023-01-01,0,1,0.49999999999999994,0.8660254037844387
2023-02,521.32907,2023-02-01,1,2,0.8660254037844386,0.5000000000000001
2023-03,518.50429,2023-03-01,2,3,1.0,6.123233995736766e-17
2023-04,512.04903,2023-04-01,3,4,0.8660254037844387,-0.4999999999999998
2023-05,508.01127,2023-05-01,4,5,0.49999999999999994,-0.8660254037844387
2023-06,505.7672,2023-06-01,5,6,1.2246467991473532e-16,-1.0
2023-07,504.26541,2023-07-01,6,7,-0.4999999999999997,-0.8660254037844388
2023-08,499.78709999999995,2023-08-01,7,8,-0.8660254037844385,-0.5000000000000004
2023-09,494.35513000000003,2023-09-01,8,9,-1.0,-1.8369701987210297e-16
2023-10,491.36649,2023-10-01,9,10,-0.8660254037844386,0.5000000000000001
2023-11,486.7915,2023-11-01,10,11,-0.5000000000000004,0.8660254037844384
2023-12,482.69095,2023-12-01,11,12,-2.4492935982947064e-16,1.0
2024-01,477.99073,2024-01-01,12,1,0.49999999999999994,0.8660254037844387
2024-02,474.54184000000004,2024-02-01,13,2,0.8660254037844386,0.5000000000000001
2024-03,469.52201,2024-03-01,14,3,1.0,6.123233995736766e-17
2024-04,462.74278999999996,2024-04-01,15,4,0.8660254037844387,-0.4999999999999998
2024-05,458.62399,2024-05-01,16,5,0.49999999999999994,-0.8660254037844387
2024-06,454.56675,2024-06-01,17,6,1.2246467991473532e-16,-1.0
2024-07,450.33304,2024-07-01,18,7,-0.4999999999999997,-0.8660254037844388
2024-08,448.56608,2024-08-01,19,8,-0.8660254037844385,-0.5000000000000004
2024-09,446.31583,2024-09-01,20,9,-1.0,-1.8369701987210297e-16
2024-10,446.04294,2024-10-01,21,10,-0.8660254037844386,0.5000000000000001
2024-11,442.48089,2024-11-01,22,11,-0.5000000000000004,0.8660254037844384
2024-12,436.81855,2024-12-01,23,12,-2.4492935982947064e-16,1.0
2025-01,432.58496,2025-01-01,24,1,0.49999999999999994,0.8660254037844387
2025-02,428.45825,2025-02-01,25,2,0.8660254037844386,0.5000000000000001
2025-03,424.51097999999996,2025-03-01,26,3,1.0,6.123233995736766e-17
2025-04,420.00831,2025-04-01,27,4,0.8660254037844387,-0.4999999999999998
2025-05,418.84231,2025-05-01,28,5,0.49999999999999994,-0.8660254037844387
2025-06,417.53262,2025-06-01,29,6,1.2246467991473532e-16,-1.0
2025-07,410.92271,2025-07-01,30,7,-0.4999999999999997,-0.8660254037844388
2025-08,407.57715,2025-08-01,31,8,-0.8660254037844385,-0.5000000000000004
2025-09,405.22522999999995,2025-09-01,32,9,-1.0,-1.8369701987210297e-16
2025-10,403.57719000000003,2025-10-01,33,10,-0.8660254037844386,0.5000000000000001
2025-11,396.57390999999996,2025-11-01,34,11,-0.5000000000000004,0.8660254037844384
2025-12,393.31949,2025-12-01,35,12,-2.4492935982947064e-16,1.0
2026-01,393.06268,2026-01-01,36,1,0.49999999999999994,0.8660254037844387
2026-02,388.31174,2026-02-01,37,2,0.8660254037844386,0.5000000000000001
2026-03,387.24196,2026-03-01,38,3,1.0,6.123233995736766e-17
2026-04,383.37695,2026-04-01,39,4,0.8660254037844387,-0.4999999999999998
2026-05,381.76496999999995,2026-05-01,40,5,0.49999999999999994,-0.8660254037844387
