anio,tasa_ahorro_pct,tasa_desempleo,ipc_variacion_anual_pct,euribor_pct,tasa_morosidad_pct,pais,fuente
2008,,,,5.384,3.37,España,Eurostat + Banco de España
2009,,,,1.623,5.07,España,Eurostat + Banco de España
2010,,31.8,,1.35,5.81,España,Eurostat + Banco de España
2011,,36.5,,2.005,7.82,España,Eurostat + Banco de España
2012,,42.6,,1.114,10.44,España,Eurostat + Banco de España
2013,,46.1,,0.543,13.62,España,Eurostat + Banco de España
2014,,42.9,,0.481,12.53,España,Eurostat + Banco de España
2015,7.6,38.7,,0.165,10.11,España,Eurostat + Banco de España
2016,7.85,34.1,,-0.045,9.07,España,Eurostat + Banco de España
2017,7.25,30.2,,-0.154,7.79,España,Eurostat + Banco de España
2018,6.95,26.8,,-0.129,6.0,España,Eurostat + Banco de España
2019,7.35,24.1,0.7,-0.248,4.83,España,Eurostat + Banco de España
2020,14.8,26.4,0.1,-0.303,4.12,España,Eurostat + Banco de España
2021,11.5,24.8,3.23,-0.502,4.39,España,Eurostat + Banco de España
2022,8.8,21.0,7.33,1.864,3.76,España,Eurostat + Banco de España
2023,9.85,18.2,3.7,4.066,3.54,España,Eurostat + Banco de España
2024,11.68,16.9,2.78,3.103,3.4,España,Eurostat + Banco de España
