anio,euribor_pct,fuente,indicador
2008,5.384,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2009,1.623,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2010,1.35,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2011,2.005,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2012,1.114,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2013,0.543,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2014,0.481,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2015,0.165,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2016,-0.045,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2017,-0.154,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2018,-0.129,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2019,-0.248,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2020,-0.303,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2021,-0.502,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2022,1.864,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2023,4.066,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
2024,3.103,Banco de España — Boletín Estadístico,Euríbor 12 meses — media anual (%)
