anio,tasa_desempleo,grupo_edad,pais,fuente,indicador
2010,31.8,25-34 años,España,Eurostat une_rt_a,Tasa de desempleo (%)
2011,36.5,25-34 años,España,Eurostat une_rt_a,Tasa de desempleo (%)
2012,42.6,25-34 años,España,Eurostat une_rt_a,Tasa de desempleo (%)
2013,46.1,25-34 años,España,Eurostat une_rt_a,Tasa de desempleo (%)
2014,42.9,25-34 años,España,Eurostat une_rt_a,Tasa de desempleo (%)
2015,38.7,25-34 años,España,Eurostat une_rt_a,Tasa de desempleo (%)
2016,34.1,25-34 años,España,Eurostat une_rt_a,Tasa de desempleo (%)
2017,30.2,25-34 años,España,Eurostat une_rt_a,Tasa de desempleo (%)
2018,26.8,25-34 años,España,Eurostat une_rt_a,Tasa de desempleo (%)
2019,24.1,25-34 años,España,Eurostat une_rt_a,Tasa de desempleo (%)
2020,26.4,25-34 años,España,Eurostat une_rt_a,Tasa de desempleo (%)
2021,24.8,25-34 años,España,Eurostat une_rt_a,Tasa de desempleo (%)
2022,21.0,25-34 años,España,Eurostat une_rt_a,Tasa de desempleo (%)
2023,18.2,25-34 años,España,Eurostat une_rt_a,Tasa de desempleo (%)
2024,16.9,25-34 años,España,Eurostat une_rt_a,Tasa de desempleo (%)
