periodo,ipc,pais,fuente,indicador
1997-01,2.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1997-02,2.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1997-03,2.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1997-04,1.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1997-05,1.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1997-06,1.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1997-07,1.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1997-08,1.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1997-09,1.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1997-10,1.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1997-11,1.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1997-12,1.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1998-01,1.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1998-02,1.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1998-03,1.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1998-04,1.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1998-05,2.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1998-06,2.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1998-07,2.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1998-08,2.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1998-09,1.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1998-10,1.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1998-11,1.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1998-12,1.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1999-01,1.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1999-02,1.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1999-03,2.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1999-04,2.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1999-05,2.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1999-06,2.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
1999-07,2.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
