País,Bancos,fuente
Alemania,Deutsche Bank Commerzbank DZ Bank Deutsche,Wikipedia — Euríbor histórico
Bélgica,Belfius,Wikipedia — Euríbor histórico
España,BBVA Banco Santander CaixaBank Cecabank,Wikipedia — Euríbor histórico
Finlandia,Nordea Pohjola,Wikipedia — Euríbor histórico
Francia,BNP Paribas HSBC France Société Générale Natixis Crédit Agricole,Wikipedia — Euríbor histórico
Grecia,Banco Nacional de Grecia (No desde el 30/05/19),Wikipedia — Euríbor histórico
Italia,Intesa Sanpaolo Monte dei Paschi di Siena Unicredit,Wikipedia — Euríbor histórico
Luxemburgo,Banque et Caisse d'Épargne de l'État,Wikipedia — Euríbor histórico
Países Bajos,Grupo ING,Wikipedia — Euríbor histórico
Portugal,Caixa Geral de Depósitos,Wikipedia — Euríbor histórico
Otros bancos de la UE,Barclays Investment Bank Den Danske Bank,Wikipedia — Euríbor histórico
Bancos que no son de la UE,London Branch of JP Morgan Chase Bank N.A Bank of Tokyo Mitsubishi,Wikipedia — Euríbor histórico
