anio,mes,tasa_morosidad_pct,credito_dudoso_MM_eur,periodo,fuente,indicador
2008,12,3.37,61.0,2008-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2009,12,5.07,92.6,2009-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2010,12,5.81,108.0,2010-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2011,12,7.82,140.9,2011-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2012,12,10.44,167.6,2012-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2013,12,13.62,197.4,2013-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2014,12,12.53,180.5,2014-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2015,12,10.11,144.2,2015-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2016,12,9.07,124.0,2016-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2017,12,7.79,104.5,2017-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2018,12,6.0,79.5,2018-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2019,12,4.83,61.9,2019-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2020,3,4.74,60.8,2020-03,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2020,6,3.1,55.6,2020-06,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2020,12,4.51,56.0,2020-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2021,6,4.48,54.4,2021-06,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2021,12,4.31,51.9,2021-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2022,6,3.9,47.9,2022-06,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2022,12,3.61,44.5,2022-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2023,3,3.56,43.4,2023-03,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2023,6,3.49,43.2,2023-06,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2023,9,3.56,43.7,2023-09,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2023,12,3.54,41.9,2023-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2024,3,3.47,41.1,2024-03,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2024,6,3.43,40.8,2024-06,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2024,9,3.38,39.8,2024-09,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2024,10,3.41,40.3,2024-10,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2024,11,3.38,39.9,2024-11,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
2024,12,3.32,39.4,2024-12,Banco de España — Boletín Estadístico Cap.4,Tasa de morosidad entidades de crédito (%)
